,date,ct,dt,ct_ma,dt_ma
312,2020-12-09,2810,42,2290.285714285714,37.42857142857143
313,2020-12-10,2969,26,2354.8571428571427,36.0
314,2020-12-11,2795,41,2403.8571428571427,35.42857142857143
315,2020-12-12,3037,28,2479.4285714285716,36.285714285714285
316,2020-12-13,2383,20,2528.714285714286,34.714285714285715
317,2020-12-14,1681,47,2550.1428571428573,35.857142857142854
318,2020-12-15,2426,53,2585.8571428571427,36.714285714285715
319,2020-12-16,2996,53,2612.4285714285716,38.285714285714285
320,2020-12-17,3209,38,2646.714285714286,40.0
321,2020-12-18,2837,48,2652.714285714286,41.0
322,2020-12-19,2989,40,2645.8571428571427,42.714285714285715
323,2020-12-20,2491,36,2661.285714285714,45.0
324,2020-12-21,1811,48,2679.8571428571427,45.142857142857146
325,2020-12-22,2694,48,2718.1428571428573,44.42857142857143
326,2020-12-23,3276,56,2758.1428571428573,44.857142857142854
327,2020-12-24,3746,54,2834.8571428571427,47.142857142857146
328,2020-12-25,3832,64,2977.0,49.42857142857143
329,2020-12-26,3885,47,3105.0,50.42857142857143
330,2020-12-27,2944,40,3169.714285714286,51.0
331,2020-12-28,2397,51,3253.4285714285716,51.42857142857143
332,2020-12-29,3627,59,3386.714285714286,53.0
333,2020-12-30,3871,59,3471.714285714286,53.42857142857143
334,2020-12-31,4532,49,3584.0,52.714285714285715
335,2021-01-01,3256,49,3501.714285714286,50.57142857142857
336,2021-01-02,3071,31,3385.4285714285716,48.285714285714285
337,2021-01-03,3166,60,3417.1428571428573,51.142857142857146
338,2021-01-04,3343,48,3552.285714285714,50.714285714285715
339,2021-01-05,4949,76,3741.1428571428573,53.142857142857146
340,2021-01-06,6049,65,4052.285714285714,54.0
341,2021-01-07,7642,64,4496.571428571428,56.142857142857146
342,2021-01-08,7957,78,5168.142857142857,60.285714285714285
343,2021-01-09,7854,59,5851.428571428572,64.28571428571429
344,2021-01-10,6108,45,6271.714285714285,62.142857142857146
345,2021-01-11,4906,48,6495.0,62.142857142857146
346,2021-01-12,4597,64,6444.714285714285,60.42857142857143
347,2021-01-13,5917,97,6425.857142857143,65.0
348,2021-01-14,6656,66,6285.0,65.28571428571429
349,2021-01-15,7173,78,6173.0,65.28571428571429
350,2021-01-16,7042,56,6057.0,64.85714285714286
351,2021-01-17,5760,49,6007.285714285715,65.42857142857143
352,2021-01-18,4937,58,6011.714285714285,66.85714285714286
353,2021-01-19,5335,104,6117.142857142857,72.57142857142857
354,2021-01-20,5562,92,6066.428571428572,71.85714285714286
355,2021-01-21,5664,94,5924.714285714285,75.85714285714286
356,2021-01-22,5057,108,5622.428571428572,80.14285714285714
357,2021-01-23,4726,83,5291.571428571428,84.0
358,2021-01-24,3990,56,5038.714285714285,85.0
359,2021-01-25,2763,74,4728.142857142857,87.28571428571429
360,2021-01-26,3853,104,4516.428571428572,87.28571428571429
361,2021-01-27,3974,90,4289.571428571428,87.0
